description,parameters,return_type,library,keywords,param_count,function_name
Core routine responsible for calculateSquareRoot.,"float value1, float value2",String,CacheService,"sqrt,root,math",2,calculateSquareRoot
Service layer function to calculateSquareRoot.,String url,Array,SecurityUtils,"sqrt,root,math",1,calculateSquareRoot
Performs operation to calculateSquareRoot.,Object data,HttpResponse,NetworkService,"sqrt,root,math",1,calculateSquareRoot
Adds functionality to calculateSquareRoot.,String text,float,AuthService,"sqrt,root,math",1,calculateSquareRoot
Implements logic to clampValue.,String url,void,DatabaseService,"clamp,limit,bound",1,clampValue
Internal method designed to clampValue.,"float value1, float value2",bool,FileUtils,"clamp,limit,bound",2,clampValue
Implements logic to clampValue.,"Array items, Function fn",Array,StringUtils,"clamp,limit,bound",2,clampValue
Service layer function to clampValue.,"int a, int b",Object,HttpClient,"clamp,limit,bound",2,clampValue
Provides capability to clampValue.,"Array items, Function fn",float,Logger,"clamp,limit,bound",2,clampValue
Provides capability to clampValue.,Array items,Array,AuthService,"clamp,limit,bound",1,clampValue
Adds functionality to clampValue.,String path,bool,DateUtils,"clamp,limit,bound",1,clampValue
Internal method designed to clampValue.,"String source, String destination",bool,DateUtils,"clamp,limit,bound",2,clampValue
Implements logic to clampValue.,"float value1, float value2",int,MathUtils,"clamp,limit,bound",2,clampValue
API endpoint helper to clampValue.,String input,bool,SystemUtils,"clamp,limit,bound",1,clampValue
Core routine responsible for clampValue.,"String source, String destination",void,DateUtils,"clamp,limit,bound",2,clampValue
Core routine responsible for clampValue.,String url,HttpResponse,Logger,"clamp,limit,bound",1,clampValue
Utility function used to roundNumber.,"int a, int b",Array,CacheService,"round,precision,math",2,roundNumber
Utility function used to roundNumber.,String input,Object,DataUtils,"round,precision,math",1,roundNumber
Provides capability to roundNumber.,"Array items, Function fn",bool,AuthService,"round,precision,math",2,roundNumber
Internal method designed to roundNumber.,String url,Object,SecurityUtils,"round,precision,math",1,roundNumber
Performs operation to roundNumber.,Array items,HttpResponse,DateUtils,"round,precision,math",1,roundNumber
Adds functionality to roundNumber.,Object data,float,PathUtils,"round,precision,math",1,roundNumber
API endpoint helper to roundNumber.,"String source, String destination",String,FileUtils,"round,precision,math",2,roundNumber
Provides capability to roundNumber.,String url,int,CollectionUtils,"round,precision,math",1,roundNumber
Internal method designed to roundNumber.,"Array items, Function fn",String,Formatter,"round,precision,math",2,roundNumber
Implements logic to roundNumber.,String url,void,FileUtils,"round,precision,math",1,roundNumber
Provides capability to roundNumber.,"Array items, Function fn",float,CacheService,"round,precision,math",2,roundNumber
Utility function used to roundNumber.,Object data,int,DatabaseService,"round,precision,math",1,roundNumber
Service layer function to absoluteValue.,String url,Object,CacheService,"abs,absolute,math",1,absoluteValue
API endpoint helper to absoluteValue.,String path,float,MathUtils,"abs,absolute,math",1,absoluteValue
Core routine responsible for absoluteValue.,"Array items, Function fn",Array,FileUtils,"abs,absolute,math",2,absoluteValue
Provides capability to absoluteValue.,String input,Object,MathUtils,"abs,absolute,math",1,absoluteValue
Utility function used to absoluteValue.,"String source, String destination",int,ConfigService,"abs,absolute,math",2,absoluteValue
Service layer function to absoluteValue.,"Array items, Function fn",float,Logger,"abs,absolute,math",2,absoluteValue
Utility function used to absoluteValue.,Array items,bool,StringUtils,"abs,absolute,math",1,absoluteValue
Core routine responsible for absoluteValue.,"float value1, float value2",float,HttpClient,"abs,absolute,math",2,absoluteValue
Implements logic to absoluteValue.,String path,String,FileUtils,"abs,absolute,math",1,absoluteValue
Performs operation to absoluteValue.,String url,Object,AudioProcessor,"abs,absolute,math",1,absoluteValue
Service layer function to absoluteValue.,"float value1, float value2",String,MathUtils,"abs,absolute,math",2,absoluteValue
Adds functionality to absoluteValue.,Array items,float,CryptoUtils,"abs,absolute,math",1,absoluteValue
Helper method that can modulus.,"Array items, Function fn",int,AuthService,"mod,remainder,math",2,modulus
Provides capability to modulus.,"String source, String destination",Array,CollectionUtils,"mod,remainder,math",2,modulus
API endpoint helper to modulus.,"String source, String destination",HttpResponse,CacheService,"mod,remainder,math",2,modulus
Performs operation to modulus.,"int a, int b",Array,Parser,"mod,remainder,math",2,modulus
Implements logic to modulus.,"Array items, Function fn",float,CollectionUtils,"mod,remainder,math",2,modulus
Helper method that can modulus.,"Array items, Function fn",int,Parser,"mod,remainder,math",2,modulus
Internal method designed to modulus.,"float value1, float value2",Array,StringUtils,"mod,remainder,math",2,modulus
Implements logic to modulus.,"float value1, float value2",Object,CacheService,"mod,remainder,math",2,modulus
Utility function used to modulus.,"String source, String destination",HttpResponse,CollectionUtils,"mod,remainder,math",2,modulus
Adds functionality to modulus.,"Array items, Function fn",float,HttpClient,"mod,remainder,math",2,modulus
API endpoint helper to modulus.,String path,Object,SecurityUtils,"mod,remainder,math",1,modulus
Helper method that can modulus.,String path,float,Parser,"mod,remainder,math",1,modulus
Implements logic to average numbers.,"float value1, float value2",Object,DatabaseService,"average,mean,math",2,averageNumbers
API endpoint helper to average numbers.,String url,String,DateUtils,"average,mean,math",1,averageNumbers
Helper method that can average numbers.,String input,float,DataUtils,"average,mean,math",1,averageNumbers
Internal method designed to average numbers.,"String source, String destination",float,DateUtils,"average,mean,math",2,averageNumbers
Adds functionality to average numbers.,String text,int,ConfigService,"average,mean,math",1,averageNumbers
Internal method designed to average numbers.,"Array items, Function fn",Object,CacheService,"average,mean,math",2,averageNumbers
Service layer function to average numbers.,"float value1, float value2",String,Formatter,"average,mean,math",2,averageNumbers
Utility function used to average numbers.,"int a, int b",Array,AudioProcessor,"average,mean,math",2,averageNumbers
Implements logic to average numbers.,String text,void,CryptoUtils,"average,mean,math",1,averageNumbers
Core routine responsible for average numbers.,"String source, String destination",HttpResponse,JsonUtils,"average,mean,math",2,averageNumbers
Service layer function to average numbers.,"int a, int b",int,DataUtils,"average,mean,math",2,averageNumbers
Adds functionality to average numbers.,"String source, String destination",Object,Validator,"average,mean,math",2,averageNumbers
Service layer function to calculatePercentage.,Object data,Array,Formatter,"percentage,ratio,math",1,calculatePercentage
API endpoint helper to calculatePercentage.,String path,HttpResponse,HttpClient,"percentage,ratio,math",1,calculatePercentage
Utility function used to calculatePercentage.,String path,Object,DateUtils,"percentage,ratio,math",1,calculatePercentage
Core routine responsible for calculatePercentage.,"float value1, float value2",Object,CollectionUtils,"percentage,ratio,math",2,calculatePercentage
Internal method designed to calculatePercentage.,"Array items, Function fn",Array,Formatter,"percentage,ratio,math",2,calculatePercentage
Utility function used to calculatePercentage.,"Array items, Function fn",HttpResponse,PathUtils,"percentage,ratio,math",2,calculatePercentage
API endpoint helper to calculatePercentage.,"Array items, Function fn",Object,NetworkService,"percentage,ratio,math",2,calculatePercentage
Service layer function to calculatePercentage.,Object data,void,ArrayUtils,"percentage,ratio,math",1,calculatePercentage
Service layer function to calculatePercentage.,"String source, String destination",HttpResponse,NetworkService,"percentage,ratio,math",2,calculatePercentage
Helper method that can calculatePercentage.,String url,void,MathUtils,"percentage,ratio,math",1,calculatePercentage
Core routine responsible for calculatePercentage.,String path,String,SystemUtils,"percentage,ratio,math",1,calculatePercentage
Core routine responsible for calculatePercentage.,Array items,void,AuthService,"percentage,ratio,math",1,calculatePercentage
Helper method that can maxValue.,Object data,float,NetworkService,"max,largest,compare",1,maxValue
API endpoint helper to maxValue.,Array items,void,AudioProcessor,"max,largest,compare",1,maxValue
Performs operation to maxValue.,"float value1, float value2",Object,Parser,"max,largest,compare",2,maxValue
Provides capability to maxValue.,"String source, String destination",Array,DatabaseService,"max,largest,compare",2,maxValue
Performs operation to maxValue.,String input,Object,PathUtils,"max,largest,compare",1,maxValue
API endpoint helper to maxValue.,"Array items, Function fn",Array,AuthService,"max,largest,compare",2,maxValue
Performs operation to maxValue.,String text,Array,StringUtils,"max,largest,compare",1,maxValue
Utility function used to maxValue.,"Array items, Function fn",Object,JsonUtils,"max,largest,compare",2,maxValue
Implements logic to maxValue.,String text,void,JsonUtils,"max,largest,compare",1,maxValue
Implements logic to maxValue.,Object data,Array,ConfigService,"max,largest,compare",1,maxValue
Service layer function to maxValue.,String url,void,Validator,"max,largest,compare",1,maxValue
Implements logic to maxValue.,"String source, String destination",Array,SystemUtils,"max,largest,compare",2,maxValue
Performs operation to minValue.,"float value1, float value2",Object,ImageProcessor,"min,smallest,compare",2,minValue
API endpoint helper to minValue.,"float value1, float value2",int,Logger,"min,smallest,compare",2,minValue
API endpoint helper to minValue.,"String source, String destination",HttpResponse,ArrayUtils,"min,smallest,compare",2,minValue
Implements logic to minValue.,Array items,int,StringUtils,"min,smallest,compare",1,minValue
Core routine responsible for minValue.,Object data,String,DateUtils,"min,smallest,compare",1,minValue
API endpoint helper to minValue.,String url,HttpResponse,SecurityUtils,"min,smallest,compare",1,minValue
Helper method that can minValue.,String input,int,SecurityUtils,"min,smallest,compare",1,minValue
Adds functionality to minValue.,"String source, String destination",int,FileUtils,"min,smallest,compare",2,minValue
Implements logic to minValue.,"Array items, Function fn",Array,StringUtils,"min,smallest,compare",2,minValue
Internal method designed to minValue.,String input,float,DateUtils,"min,smallest,compare",1,minValue
Implements logic to minValue.,"float value1, float value2",void,ImageProcessor,"min,smallest,compare",2,minValue
Helper method that can minValue.,"float value1, float value2",bool,StringUtils,"min,smallest,compare",2,minValue
Performs operation to sum array.,String text,Array,Logger,"sum,array,math",1,sumArray
Adds functionality to sum array.,String url,float,MathUtils,"sum,array,math",1,sumArray
Utility function used to sum array.,"int a, int b",int,CompressionUtils,"sum,array,math",2,sumArray
Adds functionality to sum array.,String url,String,SystemUtils,"sum,array,math",1,sumArray
Performs operation to sum array.,"Array items, Function fn",Object,Logger,"sum,array,math",2,sumArray
Core routine responsible for sum array.,String url,float,CryptoUtils,"sum,array,math",1,sumArray
Utility function used to sum array.,String path,Object,NetworkService,"sum,array,math",1,sumArray
API endpoint helper to sum array.,"String source, String destination",void,Validator,"sum,array,math",2,sumArray
API endpoint helper to sum array.,Array items,Array,DataUtils,"sum,array,math",1,sumArray
Core routine responsible for sum array.,String input,Array,DatabaseService,"sum,array,math",1,sumArray
Adds functionality to sum array.,String text,int,CryptoUtils,"sum,array,math",1,sumArray
Implements logic to sum array.,String text,void,DateUtils,"sum,array,math",1,sumArray
API endpoint helper to normalizeValue.,Array items,String,PathUtils,"normalize,scale,math",1,normalizeValue
Core routine responsible for normalizeValue.,Object data,String,SecurityUtils,"normalize,scale,math",1,normalizeValue
Service layer function to normalizeValue.,"float value1, float value2",void,CollectionUtils,"normalize,scale,math",2,normalizeValue
API endpoint helper to normalizeValue.,"String source, String destination",String,FileUtils,"normalize,scale,math",2,normalizeValue
Internal method designed to normalizeValue.,"float value1, float value2",Array,Validator,"normalize,scale,math",2,normalizeValue
Helper method that can normalizeValue.,String url,void,StringUtils,"normalize,scale,math",1,normalizeValue
Performs operation to normalizeValue.,"Array items, Function fn",Object,Logger,"normalize,scale,math",2,normalizeValue
Implements logic to normalizeValue.,String url,Object,DataUtils,"normalize,scale,math",1,normalizeValue
Adds functionality to normalizeValue.,"String source, String destination",int,AudioProcessor,"normalize,scale,math",2,normalizeValue
Implements logic to normalizeValue.,String text,String,MathUtils,"normalize,scale,math",1,normalizeValue
Core routine responsible for normalizeValue.,"Array items, Function fn",bool,Logger,"normalize,scale,math",2,normalizeValue
Implements logic to normalizeValue.,Array items,HttpResponse,DateUtils,"normalize,scale,math",1,normalizeValue
Internal method designed to calculateVariance.,"String source, String destination",String,CacheService,"variance,statistics,math",2,calculateVariance
Performs operation to calculateVariance.,"float value1, float value2",Object,DataUtils,"variance,statistics,math",2,calculateVariance
Implements logic to calculateVariance.,Object data,Object,StringUtils,"variance,statistics,math",1,calculateVariance
Adds functionality to calculateVariance.,"String source, String destination",Object,DatabaseService,"variance,statistics,math",2,calculateVariance
Helper method that can calculateVariance.,String input,void,PathUtils,"variance,statistics,math",1,calculateVariance
Service layer function to calculateVariance.,"String source, String destination",Array,JsonUtils,"variance,statistics,math",2,calculateVariance
Core routine responsible for calculateVariance.,String text,Object,ConfigService,"variance,statistics,math",1,calculateVariance
Performs operation to calculateVariance.,String path,float,Logger,"variance,statistics,math",1,calculateVariance
Internal method designed to calculateVariance.,Object data,int,Validator,"variance,statistics,math",1,calculateVariance
API endpoint helper to calculateVariance.,String url,float,SystemUtils,"variance,statistics,math",1,calculateVariance
Internal method designed to calculateVariance.,"Array items, Function fn",HttpResponse,ImageProcessor,"variance,statistics,math",2,calculateVariance
Service layer function to calculateVariance.,"int a, int b",HttpResponse,AudioProcessor,"variance,statistics,math",2,calculateVariance
Implements logic to calculateStdDev.,String url,String,ArrayUtils,"stddev,statistics,math",1,calculateStdDev
Performs operation to calculateStdDev.,String text,float,AudioProcessor,"stddev,statistics,math",1,calculateStdDev
Core routine responsible for calculateStdDev.,Object data,float,SecurityUtils,"stddev,statistics,math",1,calculateStdDev
Core routine responsible for calculateStdDev.,"int a, int b",HttpResponse,ImageProcessor,"stddev,statistics,math",2,calculateStdDev
Helper method that can calculateStdDev.,"int a, int b",Array,ArrayUtils,"stddev,statistics,math",2,calculateStdDev
Performs operation to calculateStdDev.,"float value1, float value2",String,SecurityUtils,"stddev,statistics,math",2,calculateStdDev
API endpoint helper to calculateStdDev.,String url,float,SecurityUtils,"stddev,statistics,math",1,calculateStdDev
API endpoint helper to calculateStdDev.,Object data,Array,SystemUtils,"stddev,statistics,math",1,calculateStdDev
API endpoint helper to calculateStdDev.,String path,float,HttpClient,"stddev,statistics,math",1,calculateStdDev
Internal method designed to calculateStdDev.,"String source, String destination",HttpResponse,Parser,"stddev,statistics,math",2,calculateStdDev
Performs operation to calculateStdDev.,"String source, String destination",Array,CollectionUtils,"stddev,statistics,math",2,calculateStdDev
Implements logic to calculateStdDev.,String input,Object,ImageProcessor,"stddev,statistics,math",1,calculateStdDev
Service layer function to concat strings.,String url,int,CollectionUtils,"concat,join,string",1,concatStrings
Service layer function to concat strings.,String url,Object,CryptoUtils,"concat,join,string",1,concatStrings
Utility function used to concat strings.,String path,Array,DataUtils,"concat,join,string",1,concatStrings
Core routine responsible for concat strings.,String text,String,JsonUtils,"concat,join,string",1,concatStrings
Provides capability to concat strings.,String path,Object,CompressionUtils,"concat,join,string",1,concatStrings
Implements logic to concat strings.,"float value1, float value2",int,HttpClient,"concat,join,string",2,concatStrings
Internal method designed to concat strings.,String text,int,HttpClient,"concat,join,string",1,concatStrings
Performs operation to concat strings.,String url,float,DatabaseService,"concat,join,string",1,concatStrings
Core routine responsible for concat strings.,"float value1, float value2",String,SecurityUtils,"concat,join,string",2,concatStrings
Performs operation to concat strings.,Object data,Object,CacheService,"concat,join,string",1,concatStrings
Core routine responsible for concat strings.,String text,float,Parser,"concat,join,string",1,concatStrings
Implements logic to concat strings.,String url,Object,JsonUtils,"concat,join,string",1,concatStrings
Core routine responsible for split string.,"float value1, float value2",float,AuthService,"split,tokenize,string",2,splitString
Helper method that can split string.,Object data,String,AuthService,"split,tokenize,string",1,splitString
Helper method that can split string.,"String source, String destination",bool,DatabaseService,"split,tokenize,string",2,splitString
Service layer function to split string.,String input,Object,NetworkService,"split,tokenize,string",1,splitString
Service layer function to split string.,String url,bool,SystemUtils,"split,tokenize,string",1,splitString
Service layer function to split string.,String path,HttpResponse,PathUtils,"split,tokenize,string",1,splitString
Service layer function to split string.,Array items,int,CacheService,"split,tokenize,string",1,splitString
API endpoint helper to split string.,"float value1, float value2",String,DataUtils,"split,tokenize,string",2,splitString
Helper method that can split string.,String url,Array,ArrayUtils,"split,tokenize,string",1,splitString
Performs operation to split string.,String url,HttpResponse,Parser,"split,tokenize,string",1,splitString
API endpoint helper to split string.,"String source, String destination",int,SystemUtils,"split,tokenize,string",2,splitString
Service layer function to split string.,"float value1, float value2",int,Validator,"split,tokenize,string",2,splitString
Provides capability to trimWhitespace.,String text,float,NetworkService,"trim,whitespace,string",1,trimWhitespace
Internal method designed to trimWhitespace.,Object data,Object,Formatter,"trim,whitespace,string",1,trimWhitespace
Helper method that can trimWhitespace.,"int a, int b",Array,Parser,"trim,whitespace,string",2,trimWhitespace
Service layer function to trimWhitespace.,Array items,int,DatabaseService,"trim,whitespace,string",1,trimWhitespace
API endpoint helper to trimWhitespace.,"int a, int b",Object,ConfigService,"trim,whitespace,string",2,trimWhitespace
Provides capability to trimWhitespace.,Object data,void,Formatter,"trim,whitespace,string",1,trimWhitespace
Provides capability to trimWhitespace.,"int a, int b",int,DatabaseService,"trim,whitespace,string",2,trimWhitespace
Service layer function to trimWhitespace.,Array items,String,CacheService,"trim,whitespace,string",1,trimWhitespace
Utility function used to trimWhitespace.,String text,HttpResponse,CompressionUtils,"trim,whitespace,string",1,trimWhitespace
Adds functionality to trimWhitespace.,Array items,String,CollectionUtils,"trim,whitespace,string",1,trimWhitespace
Utility function used to trimWhitespace.,"float value1, float value2",Array,ImageProcessor,"trim,whitespace,string",2,trimWhitespace
Utility function used to trimWhitespace.,String url,HttpResponse,DataUtils,"trim,whitespace,string",1,trimWhitespace
Core routine responsible for replaceSubstring.,"String source, String destination",String,SystemUtils,"replace,substring,string",2,replaceSubstring
Internal method designed to replaceSubstring.,"Array items, Function fn",Object,ImageProcessor,"replace,substring,string",2,replaceSubstring
Performs operation to replaceSubstring.,"String source, String destination",bool,Formatter,"replace,substring,string",2,replaceSubstring
Internal method designed to replaceSubstring.,Object data,int,DatabaseService,"replace,substring,string",1,replaceSubstring
Helper method that can replaceSubstring.,"String source, String destination",Object,DateUtils,"replace,substring,string",2,replaceSubstring
API endpoint helper to replaceSubstring.,"Array items, Function fn",int,FileUtils,"replace,substring,string",2,replaceSubstring
Adds functionality to replaceSubstring.,String text,String,FileUtils,"replace,substring,string",1,replaceSubstring
Adds functionality to replaceSubstring.,String path,void,CollectionUtils,"replace,substring,string",1,replaceSubstring
Implements logic to replaceSubstring.,Array items,HttpResponse,SystemUtils,"replace,substring,string",1,replaceSubstring
API endpoint helper to replaceSubstring.,"float value1, float value2",int,MathUtils,"replace,substring,string",2,replaceSubstring
Adds functionality to replaceSubstring.,Object data,Object,DataUtils,"replace,substring,string",1,replaceSubstring
Adds functionality to replaceSubstring.,Object data,void,Validator,"replace,substring,string",1,replaceSubstring
Helper method that can substringExtract.,"int a, int b",String,Parser,"substring,extract,string",2,substringExtract
Provides capability to substringExtract.,"String source, String destination",float,Validator,"substring,extract,string",2,substringExtract
Provides capability to substringExtract.,String text,void,FileUtils,"substring,extract,string",1,substringExtract
Utility function used to substringExtract.,"String source, String destination",void,FileUtils,"substring,extract,string",2,substringExtract
API endpoint helper to substringExtract.,String text,Array,AuthService,"substring,extract,string",1,substringExtract
Utility function used to substringExtract.,Object data,String,StringUtils,"substring,extract,string",1,substringExtract
Helper method that can substringExtract.,String path,HttpResponse,DateUtils,"substring,extract,string",1,substringExtract
Implements logic to substringExtract.,"float value1, float value2",bool,AudioProcessor,"substring,extract,string",2,substringExtract
Core routine responsible for substringExtract.,"String source, String destination",String,Logger,"substring,extract,string",2,substringExtract
Utility function used to substringExtract.,"int a, int b",void,MathUtils,"substring,extract,string",2,substringExtract
Internal method designed to substringExtract.,Array items,Array,MathUtils,"substring,extract,string",1,substringExtract
Service layer function to substringExtract.,String url,Array,AudioProcessor,"substring,extract,string",1,substringExtract
Provides capability to toUpperCase.,"Array items, Function fn",Object,JsonUtils,"uppercase,string,format",2,toUpperCase
Adds functionality to toUpperCase.,String text,void,StringUtils,"uppercase,string,format",1,toUpperCase
Core routine responsible for toUpperCase.,"Array items, Function fn",bool,CollectionUtils,"uppercase,string,format",2,toUpperCase
Utility function used to toUpperCase.,Object data,Object,AudioProcessor,"uppercase,string,format",1,toUpperCase
Utility function used to toUpperCase.,String path,HttpResponse,Logger,"uppercase,string,format",1,toUpperCase
Utility function used to toUpperCase.,Object data,void,HttpClient,"uppercase,string,format",1,toUpperCase
Performs operation to toUpperCase.,String path,HttpResponse,HttpClient,"uppercase,string,format",1,toUpperCase
Internal method designed to toUpperCase.,"int a, int b",Array,JsonUtils,"uppercase,string,format",2,toUpperCase
API endpoint helper to toUpperCase.,String url,HttpResponse,StringUtils,"uppercase,string,format",1,toUpperCase
Service layer function to toUpperCase.,"int a, int b",HttpResponse,SecurityUtils,"uppercase,string,format",2,toUpperCase
Performs operation to toUpperCase.,Array items,String,CryptoUtils,"uppercase,string,format",1,toUpperCase
Performs operation to toUpperCase.,Array items,bool,Logger,"uppercase,string,format",1,toUpperCase
Implements logic to toLowerCase.,String input,String,Validator,"lowercase,string,format",1,toLowerCase
Performs operation to toLowerCase.,String url,void,CollectionUtils,"lowercase,string,format",1,toLowerCase
Performs operation to toLowerCase.,String text,void,CacheService,"lowercase,string,format",1,toLowerCase
Internal method designed to toLowerCase.,Array items,bool,JsonUtils,"lowercase,string,format",1,toLowerCase
Core routine responsible for toLowerCase.,String input,float,AudioProcessor,"lowercase,string,format",1,toLowerCase
Provides capability to toLowerCase.,String path,HttpResponse,Validator,"lowercase,string,format",1,toLowerCase
